Listing Name,Price,Room Type,Reviews,Location
Oversized Bright FullyFurnished 1BR,78,Entire home/apt,16 reviews,"Bay Ridge, Brooklyn"
Rare Historic Gem in Williamsburg,115,Private room,67 reviews,"Williamsburg, Brooklyn"
IDEALLY LOCATED - WHOLE APARTMENT,155,Entire home/apt,44 reviews,"Boerum Hill, Brooklyn"
Pretty and Private in Clinton Hill,129,Private room,5 reviews,"Clinton Hill, Brooklyn"
Lovely Room in Williamsburg Loft,136,Private room,18 reviews,"Williamsburg, Brooklyn"
Sunny Private Room in Brooklyn,78,Private room,15 reviews,"Crown Heights, Brooklyn"
Sunny private room featured in film,121,Private room,90 reviews,"Flatbush, Brooklyn"
Big Airy Room in Brooklyn,58,Private room,2 reviews,"Bedford-Stuyvesant, Brooklyn"
PRIVATE SUITE in Williamsburg BK,103,Private room,3 reviews,"Williamsburg, Brooklyn"
Homey Townhouse + PRIVATE Bathroom,155,Private room,101 reviews,"Boerum Hill, Brooklyn"
Cozy Private Room in Williamsburg,71,Private room,17 reviews,"Williamsburg, Brooklyn"
Master Bed Bushwick Vacation NYC,88,Private room,32 reviews,"Bushwick, Brooklyn"
Park Slope Green Guest House,174,Entire home/apt,220 reviews,"Park Slope, Brooklyn"
"Charming, Airy 2 Bedroom Brownstone",142,Entire home/apt,15 reviews,"Bedford-Stuyvesant, Brooklyn"
Beautiful room! Heart of Wburg BK!,97,Private room,50 reviews,"Williamsburg, Brooklyn"
"Big Sunny Guest Room, W'burg Bridge",96,Private room,109 reviews,"Williamsburg, Brooklyn"
Bright Sunny 8x13 Williamsburg Room,99,Private room,5 reviews,"Williamsburg, Brooklyn"
Williamsburg 1 bedroom Apartment,174,Entire home/apt,50 reviews,"Williamsburg, Brooklyn"
Prospect Heights Pied-a-terre,154,Entire home/apt,4 reviews,"Crown Heights, Brooklyn"
Beautiful Room w/ Rooftop Patio!,103,Private room,15 reviews,"Williamsburg, Brooklyn"
Large Williamsburg Loft Apartment,258,Entire home/apt,35 reviews,"Williamsburg, Brooklyn"
Williamsburg Penthouse For A Cause,142,Private room,117 reviews,"Williamsburg, Brooklyn"
Lovely Private Room in Brownstone,110,Private room,26 reviews,"Crown Heights, Brooklyn"
Sweet and Neat Cobble Hill 1 BR,257,Entire home/apt,31 reviews,"Boerum Hill, Brooklyn"
PrivateRoom in Beautiful Brownstone,65,Private room,6 reviews,"Bedford-Stuyvesant, Brooklyn"
Sunny Loft 15 min. to Union Square,110,Private room,102 reviews,"Williamsburg, Brooklyn"
Mayor's Mansion - Garden Suite,161,Private room,53 reviews,"Fort Greene, Brooklyn"
Best Bedroom with Private Bathroom,115,Private room,17 reviews,"Williamsburg, Brooklyn"
Bohemian Paradise in Industrial BK,128,Private room,57 reviews,"Bushwick, Brooklyn"
2 BEDROOM APT: free WiFi & Jacuzzi,161,Entire home/apt,23 reviews,"Bedford-Stuyvesant, Brooklyn"
Skylight BR in Gorgeous Rooftop Apt,115,Private room,80 reviews,"Bushwick, Brooklyn"
BEST DEAL IN BROOKLYN,52,Shared room,2 reviews,"Bushwick, Brooklyn"
Nice room next to Prospect Park!,76,Private room,48 reviews,"Lefferts Garden, New York"
"BIG & SUNNY, 1 STOP FROM MANHATTAN",400,Entire home/apt,17 reviews,"Fort Greene, Brooklyn"
